name,signals,avg_return,win_rate,profit_factor,total_return,max_drawdown
Bearish CHoCH (全部小时),1362,1.1839181020462648,47.28340675477239,4.921577359219929,-407.3812320189513,-113.6813234016485
Premium/Discount Long,13295,0.035682870694760234,49.65024445280181,1.3538789434568654,-6072.021523008319,-383.5771291015056
Premium/Discount Short,22527,0.020911722440318883,47.82261286456252,1.2013118107245848,-100.0,-104.60045116937667
Bullish CHoCH (全部小时),1572,-0.06387721367723241,47.07379134860051,0.8326537356728543,-108.48339608128666,-122.26439570054077
Bullish BOS,14731,-0.03278889311920324,48.38775371665196,0.7879952119544207,-100.0,-100.0
Bearish BOS,11607,-0.049635435131344476,45.989489101404324,0.6878396176896996,-100.0,-100.0
