strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,entry_mode,min_structure_rr,entry_wait_bars,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
smc_ob_retest_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,smc_ob_retest_long+smc_ob_retest_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,252.14481583723614,341,742.9387466686094,1.2475925988755863,0.4750733137829912,2.178706001960731,417.99490062492987,-62.832710024918924
smc_strict_bidirectional_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long+smc_premium_choch_short+smc_bos_fvg_short+smc_ob_retest_short+smc_trend_transition_short+smc_trend_pullback_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,240.56889828179501,551,998.804312166114,1.1825398436207277,0.47005444646098005,1.8127120003014772,589.7749482879954,-92.40969684818265
boundary_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,202.43889313009686,26,152.90085074147282,1.5023641604708664,0.5769230769230769,5.880801951595108,66.82037992598998,-54.47370331392085
phase_short_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,156.8040665232254,203,391.46529553692744,1.1790001833024082,0.458128078817734,1.9284004706252584,458.10651539252285,-86.15001208645481
structure_rr_long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_rr2_wait8_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,structure_rr,2.0,8,142.8148408726829,59,144.33243381294233,1.3278962999668866,0.4576271186440678,2.446312437507497,190.08707460711594,-36.81075884767415
structure_rr_long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_rr2.5_wait8_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,structure_rr,2.5,8,142.8148408726829,59,144.33243381294233,1.3278962999668866,0.4576271186440678,2.446312437507497,190.08707460711594,-36.81075884767415
screenshot_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,fast_reversal_long+fast_reversal_short+bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,96.31662040972854,32,89.5218491170308,1.2422076678537237,0.5,2.7975577849072124,107.04987328663628,-54.47370331392085
smc_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,smc_discount_choch_long+smc_premium_choch_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,79.08567494848589,125,82.72331441435381,1.0570682744721642,0.4,0.6617865153148305,486.26957353969556,-92.40969684818265
boundary_continuation_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_breakdown_short+top_breakout_long,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,63.84973129020234,5,59.85832542015851,1.5073416400357962,0.6,11.971665084031702,73.63899989160927,-72.63402822850912
structure_filter_long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_rr2_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,structure_filter,2.0,0,50.934089470132214,3,15.112225813616533,1.6792011601625407,0.6666666666666666,5.037408604538844,22.25,-22.25
