name,signals,avg_return_before,win_rate_before,profit_factor_before,total_return_before,final_equity_before,avg_return_after,win_rate_after,profit_factor_after,total_return_after,final_equity_after,max_drawdown,sharpe_ratio,total_costs_pct,cost_per_trade_pct
Premium/Discount Long,504116,0.1213258288703879,58.68649279134167,5.873154493468896,31202620.04029813,3120272004.0298133,0.09592582887038789,29.458497647366876,3.3975357026612913,2467762.924893026,246786292.48930258,-19.695114445411694,47.04022541534075,12804.5464,0.0254
Premium/Discount Short,972121,0.07269839054097472,54.69956929230003,1.4162778958814521,62486.045871551025,6258604.587155103,0.04729839054097471,39.66779855594108,1.251215711490496,4842.153537760548,494215.3537760548,-31.679922374534236,22.574628000424735,24691.8734,0.0254
Bearish CHoCH,67369,-0.19038158007694272,22.38121391144295,0.17475686015130393,-99.99999990458782,9.541217500063127e-06,-0.21578158007694276,10.41725422672149,0.14392637470836192,-99.99999999251816,7.48184375964719e-07,-99.99999999250612,-73.98611111526935,1711.1725999999999,0.0254
Bearish BOS,228670,-0.11890140426688472,27.14829229894608,0.1335304998921569,-99.99963134963913,0.036865036086548966,-0.14430140426688473,10.599116630952901,0.0871215271818167,-99.99997102851678,0.002897148321265526,-99.99997098537563,-87.47327630601086,5808.218,0.0254
Bullish BOS,248524,-0.2565880979132809,22.527804155735463,0.05084109304696755,-99.99999999922954,7.704455058448762e-08,-0.28198809791328094,8.196793871014469,0.03434575845766229,-99.99999999993965,6.03469241078376e-09,-99.99999999993963,-192.35120275468526,6312.509599999999,0.0254
Bullish CHoCH,71398,-0.465104435053247,13.343511022717724,0.018217095203205427,-100.0,5.606359788714168e-17,-0.490504435053247,5.434325891481554,0.012742067813171665,-100.0,4.3677539900554516e-18,-100.0,-280.23435543579154,1813.5092,0.0254
