candidate,filter,filter_conditions,feature_set,direction,trades,net_points,win_rate,payoff_ratio_r,avg_win_points,avg_loss_points,profit_factor,avg_points,max_drawdown_points,net_to_drawdown,folds,positive_fold_rate,min_fold_net_points,baseline_trades,baseline_net_points,baseline_win_rate,baseline_payoff_ratio_r,net_improvement,retained_trade_rate,evidence_type,robust_score
bar_best_momentum_lb60_thr0.0006_hold30_long_us_late,trend_120_up_and_vol_120_low_mid,trend_side_120equp;vol_120_rankle0.67,bar_best_momentum_lb60_thr0.0006_hold30_long_us_late + trend_120_up_and_vol_120_low_mid,long,182,2312.25,0.532967032967033,1.6362674505887873,51.32345360824742,31.366176470588236,1.867269914201322,12.70467032967033,600.125,3.852947302645282,5,0.8,-269.0,372,4563.75,0.5376344086021505,1.3822307231721112,-2251.5,0.489247311827957,state_filtered,15.817662358180385
bar_best_mean_reversion_lb10_thr1_hold30_long_us_late,momentum_60_negative,momentum_60lt0.0,bar_best_mean_reversion_lb10_thr1_hold30_long_us_late + momentum_60_negative,long,200,3036.75,0.555,1.369420561395384,66.00337837837837,48.19803370786517,1.7079290147740187,15.18375,842.125,3.6060561080599673,2,1.0,407.375,369,4483.875,0.5284552845528455,1.4234897632487993,-1447.125,0.5420054200542005,state_filtered,15.64736452899073
bar_best_mean_reversion_lb30_thr1.4_hold60_long_us_late,vwap_stretched_below,vwap_stretch_sideeqbelow,bar_best_mean_reversion_lb30_thr1.4_hold60_long_us_late + vwap_stretched_below,long,113,3324.375,0.6017699115044248,1.1156559335533054,120.1654411764706,107.70833333333333,1.6858800773694391,29.41924778761062,944.625,3.5192536720921,5,0.8,-63.75,398,6205.25,0.5577889447236181,1.0914769540190747,-2880.875,0.28391959798994976,state_filtered,15.37608382583416
bar_best_support_reclaim_lb30_thr0.0002_hold30_long_us_late,vwap_below,vwap_sideeqbelow,bar_best_support_reclaim_lb30_thr0.0002_hold30_long_us_late + vwap_below,long,227,2867.625,0.5682819383259912,1.2884855566704347,54.1656976744186,42.03826530612245,1.6960677225559804,12.632709251101321,564.75,5.077689243027889,5,0.8,-289.0,427,1666.375,0.5269320843091335,1.0500381659966416,1201.25,0.531615925058548,state_filtered,15.277166425683523
bar_best_support_reclaim_lb30_thr0.0005_hold30_long_us_late,vwap_below,vwap_sideeqbelow,bar_best_support_reclaim_lb30_thr0.0005_hold30_long_us_late + vwap_below,long,227,2867.625,0.5682819383259912,1.2884855566704347,54.1656976744186,42.03826530612245,1.6960677225559804,12.632709251101321,564.75,5.077689243027889,5,0.8,-289.0,427,1666.375,0.5269320843091335,1.0500381659966416,1201.25,0.531615925058548,state_filtered,15.277166425683523
bar_best_mean_reversion_lb10_thr1_hold30_long_us_late,vwap_stretched_above,vwap_stretch_sideeqabove,bar_best_mean_reversion_lb10_thr1_hold30_long_us_late + vwap_stretched_above,long,116,1530.25,0.5344827586206896,1.676283987915408,51.375,30.64814814814815,1.9246223564954683,13.191810344827585,504.75,3.031698860822189,2,0.5,-92.375,369,4483.875,0.5284552845528455,1.4234897632487993,-2953.625,0.3143631436314363,state_filtered,15.254734541622266
bar_best_mean_reversion_lb10_thr1_hold30_long_us_late,entry_candle_down,entry_candle_sideeqdown,bar_best_mean_reversion_lb10_thr1_hold30_long_us_late + entry_candle_down,long,348,4476.0,0.5373563218390804,1.3981808844705648,62.29612299465241,44.55512422360248,1.6239740707825814,12.862068965517242,1011.125,4.426752379775003,2,1.0,944.125,369,4483.875,0.5284552845528455,1.4234897632487993,-7.875,0.943089430894309,state_filtered,15.135097830741516
bar_best_mean_reversion_lb30_thr1.4_hold60_long_us_late,trend_120_up_and_vol_120_low_mid,trend_side_120equp;vol_120_rankle0.67,bar_best_mean_reversion_lb30_thr1.4_hold60_long_us_late + trend_120_up_and_vol_120_low_mid,long,111,2686.625,0.5585585585585585,1.370955061445245,102.31451612903226,74.63010204081633,1.7346778328490857,24.20382882882883,999.5,2.687968984492246,5,1.0,44.625,398,6205.25,0.5577889447236181,1.0914769540190747,-3518.625,0.27889447236180903,state_filtered,15.10815076202677
bar_best_momentum_lb30_thr0.0006_hold60_long_us_rth,trend_120_up_and_entry_close_high,trend_side_120equp;entry_close_zoneeqhigh,bar_best_momentum_lb30_thr0.0006_hold60_long_us_rth + trend_120_up_and_entry_close_high,long,226,2912.75,0.5752212389380531,1.0592241446060928,73.98846153846154,69.8515625,1.4343660291540843,12.888274336283185,521.375,5.586669863342125,2,1.0,1278.75,540,2030.5,0.5444444444444444,0.9248291559701761,882.25,0.4185185185185185,state_filtered,14.997155926238824
bar_best_mean_reversion_lb60_thr1.4_hold60_long_us_rth,vwap_stretched_above,vwap_stretch_sideeqabove,bar_best_mean_reversion_lb60_thr1.4_hold60_long_us_rth + vwap_stretched_above,long,182,2864.25,0.5879120879120879,1.0682075654965348,77.85630841121495,72.885,1.5239761267750567,15.737637362637363,688.5,4.160130718954249,4,1.0,442.5,829,2322.375,0.5416164053075995,0.9121617185820287,541.875,0.2195416164053076,state_filtered,14.974452992611061
bar_best_support_reclaim_lb30_thr0.001_hold30_long_us_late,vwap_below,vwap_sideeqbelow,bar_best_support_reclaim_lb30_thr0.001_hold30_long_us_late + vwap_below,long,227,2827.875,0.5638766519823789,1.301089759054311,54.4765625,41.869949494949495,1.6822170622116341,12.457599118942731,564.75,5.00730411686587,5,0.8,-289.0,427,1626.625,0.5245901639344263,1.0558944636897738,1201.25,0.531615925058548,state_filtered,14.95531570091842
