strategy,signals,avg_return,win_rate,profit_factor,total_return
Bullish CHoCH (全部),7953,0.0076740417350465275,0.6346032943543317,1.0504370787222286,61.031653918825036
Lightglow-style (做多),146173,0.00045650351007501676,0.45032256299042916,1.0331446353796887,66.72848757819543
Bearish CHoCH (全部),7650,-0.00873411724617875,0.5698039215686275,0.9495332770616007,-66.81599693326744
Bearish CHoCH Hour 14,432,-0.14708454926461756,0.5671296296296297,0.813864514917443,-63.54052528231479
