source,trades,net_points,net_dollars,gross_points,gross_dollars,profit_factor,win_rate,avg_net_points,max_drawdown_points,max_drawdown_dollars,sharpe_per_trade
Lightglow V2 Short,10632,-16085.75,-321715.0,-137.75,-2755.0,0.6556177610310647,0.38957863054928515,-1.5129561700526712,16116.5,322330.0,-12.381400476400191
PD Long 1m,143218,-218084.25,-4361685.0,-3257.25,-65145.0,0.3423189229656894,0.1889427306623469,-1.5227433004231312,218083.0,4361660.0,-112.23857266250721
