label,trades,net_points,net_dollars,profit_factor,win_rate,payoff_ratio,expectancy_points,max_drawdown_points,net_to_drawdown,positive_year_rate,worst_year_points,positive_90d_rate,worst_90d_points,net_at_cost_2.125,same_bar_count
Composite,661,4077.063750000017,81541.27500000034,1.764014203783287,0.4069591527987897,2.57060805904479,6.168023827534065,254.7874999999931,16.001820144238348,0.7647058823529411,-59.66583333333347,0.7142857142857143,-141.65124999999352,3085.5637500000175,0
50m quality primary,442,3479.652083333323,69593.04166666645,1.9676990053210226,0.4276018099547511,2.6340097796096225,7.872516025641002,210.75041666666039,16.51077202298972,0.7647058823529411,-47.86000000000149,0.6507936507936508,-128.7208333333292,2816.652083333323,0
45m low-eff add-on,593,3398.333750000027,67966.67500000054,1.7050823846651073,0.3912310286677909,2.653166986483206,5.730748313659404,230.08666666666068,14.769798699041443,0.875,-78.52833333333365,0.6333333333333333,-122.19833333333372,2508.833750000027,0
