strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
all_lightglow_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_breakdown_short+top_breakout_long+bottom_reclaim_long+top_reject_short+trend_ignition_long+trend_ignition_short+trend_pullback_long+trend_pullback_short+trend_transition_long+trend_transition_short+reversal_impulse_long+reversal_impulse_short+fast_reversal_long+fast_reversal_short+phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,2.5,30,False,267.2063519725465,536,1026.242656205617,1.1892807073341616,0.47761194029850745,1.9146318212791364,525.5679109399643,-88.96885781471428
phase_plus_fast_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short+fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,2.5,30,False,262.6840262858815,489,953.176640400794,1.1902818211502262,0.4785276073619632,1.9492364834372065,500.19900716289703,-84.30016943114606
phase_trend_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,1.8,30,False,262.3124700705689,485,930.935777408471,1.1873946690136188,0.47835051546391755,1.9194552111514867,488.9811019627523,-84.30016943114606
all_lightglow_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,bottom_breakdown_short+top_breakout_long+bottom_reclaim_long+top_reject_short+trend_ignition_long+trend_ignition_short+trend_pullback_long+trend_pullback_short+trend_transition_long+trend_transition_short+reversal_impulse_long+reversal_impulse_short+fast_reversal_long+fast_reversal_short+phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,1.8,30,False,255.13002141205237,537,833.2903828894923,1.1531420424462904,0.4767225325884544,1.5517511785651625,449.0678570798009,-88.96885781471428
phase_plus_fast_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short+fast_reversal_long+fast_reversal_short,cross_recent_5,1,1.25,1.8,30,False,249.11118108220373,491,838.7805852610109,1.1658561734619557,0.4745417515274949,1.7083107642790445,469.53498926181055,-84.30016943114606
phase_trend_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,1.2,30,False,220.56862303461727,487,728.0672987070029,1.145175792078229,0.48254620123203285,1.495004720137583,481.1813821901924,-84.30016943114606
phase_long_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,phase_up_breakout_long+phase_up_pullback_long,cross_recent_5,1,1.25,1.8,30,False,217.62659667899794,295,542.2624497114703,1.1873421430750182,0.5016949152542373,1.8381777956321026,372.5444738139122,-84.30016943114606
all_lightglow_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,bottom_breakdown_short+top_breakout_long+bottom_reclaim_long+top_reject_short+trend_ignition_long+trend_ignition_short+trend_pullback_long+trend_pullback_short+trend_transition_long+trend_transition_short+reversal_impulse_long+reversal_impulse_short+fast_reversal_long+fast_reversal_short+phase_up_breakout_long+phase_up_pullback_long+phase_down_breakdown_short+phase_down_pullback_short,cross_recent_5,1,1.25,1.2,30,False,215.46954237976826,540,822.5625773455395,1.1500567542698323,0.48333333333333334,1.5232640321213693,563.5595986552034,-88.96885781471428
boundary_reversal_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,bottom_reclaim_long+top_reject_short,cross_recent_5,1,1.25,2.5,30,False,202.43889313009686,26,152.90085074147282,1.5023641604708664,0.5769230769230769,5.880801951595108,66.82037992598998,-54.47370331392085
phase_long_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,phase_up_breakout_long+phase_up_pullback_long,cross_recent_5,1,1.25,1.2,30,False,200.15577952765344,295,505.47095305118273,1.1746899619161126,0.5084745762711864,1.7134608578006194,392.5524680777635,-84.30016943114606
