name,signals,avg_return,win_rate,profit_factor,total_return,final_equity,max_drawdown,sharpe_ratio
Premium/Discount Long,504116,0.1213258288703879,58.68649279134167,5.873154493468896,31202620.04029813,3120272004.0298133,-19.58834283777074,59.49590851570846
Premium/Discount Short,972121,0.07269839054097472,54.69956929230003,1.4162778958814521,62486.045871551025,6258604.587155103,-29.880083202102398,34.69756801281384
Bearish CHoCH,67369,-0.19038158007694272,22.38121391144295,0.17475686015130393,-99.99999990458782,9.541217500063127e-06,-99.99999990448296,-65.27708589792807
Bearish BOS,228670,-0.11890140426688472,27.14829229894608,0.1335304998921569,-99.99963134963913,0.036865036086548966,-99.99963135099314,-72.07618970480614
Bullish BOS,248524,-0.2565880979132809,22.527804155735463,0.05084109304696755,-99.99999999922954,7.704455058448762e-08,-99.99999999922964,-175.0252213174421
Bullish CHoCH,71398,-0.465104435053247,13.343511022717724,0.018217095203205427,-100.0,5.606359788714168e-17,-100.0,-265.72286049427
