name,signals,avg_return,win_rate,profit_factor,total_return,final_equity,max_drawdown,sharpe_ratio
Bearish CHoCH (全部),1362,1.183918102046265,47.28340675477239,4.921577359219931,-407.3812320189513,-30738.123201895134,-113.6813234016485,0.45805036389823545
Premium/Discount Long,13295,0.03568287069476023,49.65024445280181,1.3538789434568654,-6072.021523008319,-597202.1523008319,-383.5771291015056,0.27055851962350586
Premium/Discount Short,22527,0.020911722440318865,47.82261286456252,1.2013118107245844,-100.0,0.0,-104.60045116937667,0.09125548341866649
Bullish CHoCH (全部),1572,-0.06387721367723237,47.07379134860051,0.8326537356728543,-108.48339608128666,-848.3396081286652,-122.26439570054077,-0.18276759037271453
Bullish BOS,14731,-0.03278889311920322,48.38775371665196,0.7879952119544203,-100.0,0.0,-100.0,-0.16644310081095304
Bearish BOS,11607,-0.049635435131344476,45.989489101404324,0.6878396176896996,-100.0,-0.0,-100.0,-0.3454525182132912
