name,signals,avg_return,win_rate,profit_factor,total_return,final_equity,max_drawdown,sharpe_ratio
Premium/Discount Long,13249,0.03468056752346747,49.71695977054872,1.480311887887607,7734.784146772111,783478.4146772111,-30.18235480375594,0.9109520059557042
Premium/Discount Short,22463,0.0160570047510855,47.87428215287362,1.3209349220411384,2989.1402534737927,308914.02534737927,-21.299813044352895,0.6283893438880733
Bearish BOS,11559,-0.025955034937793067,46.024742624794534,0.7533943430758838,-95.56501310386578,443.498689613421,-96.391627597699,-0.9165066411218001
Bullish BOS,14677,-0.03344832089703006,48.41588880561423,0.6690296175601977,-99.44934523263377,55.06547673662314,-99.52477074156599,-0.8692566903418033
Bearish CHoCH (全部),1342,-0.05733081210107043,46.870342771982116,0.6321251288002151,-56.6346795869641,4336.53204130359,-58.154803979683614,-0.9316283430722412
Bullish CHoCH (全部),1552,-0.07076378387646438,47.0360824742268,0.5328044933510617,-68.71792504789902,3128.2074952100984,-69.7104136693826,-1.289653784615498
