strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Premium/Discount Long 1m,2023-03,834,-3471685.0,-3499875.0,-28190.0,-1.1276,0.4090146750524109,0.3129496402877698,28190.0
Premium/Discount Long 1m,2023-04,816,-3499875.0,-3521220.0,-21345.0,-0.8538,0.3837158943265483,0.29044117647058826,21680.0
Premium/Discount Long 1m,2023-05,691,-3521220.0,-3536510.0,-15290.0,-0.6116,0.46974163343159353,0.3125904486251809,15355.0
Premium/Discount Long 1m,2023-06,927,-3536510.0,-3563130.0,-26620.0,-1.0648,0.39189034837235864,0.2686084142394822,27035.0
Premium/Discount Long 1m,2023-07,637,-3563130.0,-3581120.0,-17990.0,-0.7196,0.44052246928937955,0.282574568288854,18205.0
Premium/Discount Long 1m,2023-08,910,-3581120.0,-3609335.0,-28215.0,-1.1286,0.47019059243263545,0.33406593406593404,28265.0
Premium/Discount Long 1m,2023-09,1029,-3609335.0,-3638900.0,-29565.0,-1.1826,0.39440802949610815,0.2857142857142857,30100.0
Premium/Discount Long 1m,2023-10,1005,-3638900.0,-3667820.0,-28920.0,-1.1568,0.4942729736819096,0.3402985074626866,29060.0
Premium/Discount Long 1m,2023-11,681,-3667820.0,-3685390.0,-17570.0,-0.7028,0.37361853832442066,0.25697503671071953,17970.0
Premium/Discount Long 1m,2023-12,768,-3685390.0,-3709685.0,-24295.0,-0.9718,0.2872231186739035,0.23567708333333334,24505.0
Premium/Discount Long 1m,2024-01,791,-3709685.0,-3738315.0,-28630.0,-1.1452,0.32722359299729764,0.2895069532237674,28645.0
Premium/Discount Long 1m,2024-02,602,-3738315.0,-3755270.0,-16955.0,-0.6782,0.5064046579330422,0.35714285714285715,16955.0
Premium/Discount Long 1m,2024-03,700,-3755270.0,-3773925.0,-18655.0,-0.7462,0.48637114537444937,0.32857142857142857,18655.0
Premium/Discount Long 1m,2024-04,777,-3773925.0,-3797430.0,-23505.0,-0.9402,0.5757220216606498,0.33976833976833976,24055.0
Premium/Discount Long 1m,2024-05,699,-3797430.0,-3819250.0,-21820.0,-0.8728,0.36180169640245685,0.296137339055794,21915.0
Premium/Discount Long 1m,2024-06,638,-3819250.0,-3837825.0,-18575.0,-0.743,0.43420651842826685,0.2836990595611285,19240.0
Premium/Discount Long 1m,2024-07,764,-3837825.0,-3866695.0,-28870.0,-1.1548,0.5286530612244899,0.3782722513089005,29330.0
Premium/Discount Long 1m,2024-08,597,-3866695.0,-3897650.0,-30955.0,-1.2382,0.5270435446906035,0.4137353433835846,31485.0
Premium/Discount Long 1m,2024-09,718,-3897650.0,-3926580.0,-28930.0,-1.1572,0.44905732241477814,0.3384401114206128,29100.0
Premium/Discount Long 1m,2024-10,635,-3926580.0,-3941725.0,-15145.0,-0.6058,0.6211855927963982,0.3795275590551181,16510.0
Premium/Discount Long 1m,2024-11,642,-3941725.0,-3964445.0,-22720.0,-0.9088,0.5222374093155294,0.3364485981308411,23030.0
Premium/Discount Long 1m,2024-12,814,-3964445.0,-3984980.0,-20535.0,-0.8214,0.6070984406390509,0.32678132678132676,22420.0
Premium/Discount Long 1m,2025-01,660,-3984980.0,-4006860.0,-21880.0,-0.8752,0.5938370150361982,0.39090909090909093,23605.0
Premium/Discount Long 1m,2025-02,555,-4006860.0,-4033140.0,-26280.0,-1.0512,0.4806324110671937,0.36396396396396397,28535.0
Premium/Discount Long 1m,2025-03,827,-4033140.0,-4071080.0,-37940.0,-1.5176,0.5139324835052207,0.36275695284159615,37940.0
Premium/Discount Long 1m,2025-04,864,-4071080.0,-4096840.0,-25760.0,-1.0304,0.7761265371746404,0.4270833333333333,26290.0
Premium/Discount Long 1m,2025-05,720,-4096840.0,-4123965.0,-27125.0,-1.085,0.5026585991932526,0.38055555555555554,28750.0
Premium/Discount Long 1m,2025-06,415,-4123965.0,-4133640.0,-9675.0,-0.387,0.6631267409470752,0.41204819277108434,10005.0
Premium/Discount Long 1m,2025-07,645,-4133640.0,-4149120.0,-15480.0,-0.6192,0.5601023017902813,0.34728682170542635,15835.0
Premium/Discount Long 1m,2025-08,793,-4149120.0,-4166055.0,-16935.0,-0.6774,0.6413595933926303,0.38461538461538464,17580.0
Premium/Discount Long 1m,2025-09,767,-4166055.0,-4186895.0,-20840.0,-0.8336,0.5263636363636364,0.3116036505867014,20840.0
Premium/Discount Long 1m,2025-10,708,-4186895.0,-4200125.0,-13230.0,-0.5292,0.7561515067735692,0.4209039548022599,13700.0
Premium/Discount Long 1m,2025-11,889,-4200125.0,-4226230.0,-26105.0,-1.0442,0.6858415067091883,0.421822272215973,27080.0
Premium/Discount Long 1m,2025-12,652,-4226230.0,-4251620.0,-25390.0,-1.0156,0.4920476142842853,0.36349693251533743,25390.0
Premium/Discount Long 1m,2026-01,691,-4251620.0,-4278915.0,-27295.0,-1.0918,0.5074438328972299,0.35600578871201155,28685.0
Premium/Discount Long 1m,2026-02,848,-4278915.0,-4300135.0,-21220.0,-0.8488,0.7251473350171621,0.44693396226415094,23360.0
Premium/Discount Long 1m,2026-03,1083,-4300135.0,-4317965.0,-17830.0,-0.7132,0.7942890106720507,0.42566943674976915,18530.0
Premium/Discount Long 1m,2026-04,488,-4317965.0,-4337170.0,-19205.0,-0.7682,0.5155757346449742,0.3668032786885246,19205.0
